Answer,Question,Unnamed--4,Unnamed--5
"We have been in this industry for the last 12 years so we have direct connect and direct network with the investors across the globe. But over the period we have realised that having that limited network is not enough. That's where we have started onboarding and connecting with the other investors outside our direct network.

We have a dedicated team of Investor Relations whose job is just to get on calls with these investors, build relations with them and understand their thesis.

Also we have subscribed to various public and private platforms through which we are gathering that data of these investors. Gathering data is just one small step, then we have our in-house team of data scientists and data engineers who are constantly refining that data, upgrading that data, and understanding the investment thesis of all these investors using Machine Learning algorithm.

Once we onboard any startup, our system matches them with the relevant investors as per their requirement using our AI matchmaking algorithm.",How are you getting the data of these investors?,,
"Marquee Equity is a marketing platform for startups which can broadcast your deal to the entire database of investors they have. Whereas Qubit Capital is a tech driven investment banking firm where we leverage technology to identify the relevant investors for your company and then help you close the deal through our fundraising experience.

If you want to market your business in front of the random investors, then Marquee is the right platform for you.

If you want to raise funding from the right investors, then Qubit is the right platform for you.","We already know Marquee Equity who is your competitor, how are you better/different from them?",,
Sure we can,Can you share the free investor list?,,
"There is an exemption in the SEC law for the Foreign advisors which states that the foreign advisors can provide its services over the internet if it has fewer than 15 U.S. clients and implements measures reasonably designed to ensure that, based on its Internet activities, the adviser is not holding itself out as an investment adviser in the United States.

https://www.sec.gov/rules/1998/03/statement-commission-regarding-use-internet-web-sites-offer-securities-solicit",As per the SEC law (For USA) we can not work with any intermediary who is not registered as a broker dealer with the SEC.,,
"We can share the video testimonials of multiple clients who have successfully raised capital through Qubit. It is not practical to share the contact information of all the successful clients because the clients don't like that on any random day any potential client of Qubit reaches out to them, asks for feedback, asks for a call or email.

Earlier we used to provide the references of all our successful clients but later on, those clients came back to us complaining that on a regular basis they are getting email and call requests from various startups who are looking to raise funds through Qubit. It became very difficult and irritating for them.

That's where we have stopped it and from that time we have started taking the video testimonials from the clients so that it can be authentic. Written testimonials can be manipulated, but it cannot be done in video testimonials.",Can you connect us with the companies which have successfully raised funding through Qubit? ,,
"No, we do not guarantee funding and no one can guarantee funding. What we guarantee is that we can identify the relevant investors for you as per your requirement, we can reach out to them on your behalf, we can generate their interest, connect them with you and also help you in closing the deal with those investors. That is what we guarantee and no one else is even guaranteeing this thing that they can get you connected with the right investor and get you a positive conversation with them. If we are not able to do that, we provide a 100% refund guarantee.

Funding is something, which is not in our hand, it is in the hands of the investors mainly. Therefore, we cannot guarantee that.",Do you guarantee funding?,,
"At Qubit, we combine advanced AI-driven matchmaking technology with our seasoned team's 15+ years of fundraising experience to find your perfect investor fit rom our extensive network of over 20,000 VCs, Family Offices, Strategic Corporates, Private Equity Funds, and Angels across 90+ countries, including the USA, UK, Europe, Latin America, Southeast Asia, Middle East, India, and beyond. 

We carefully analyze your sector, stage, geography, and funding needs to identify relevant investors from our global network, ensuring highly targeted and effective outreach. Our fundraising experts support you from investor introductions, pitch deck refinement, negotiations, all the way until funds successfully reach your account.",Can you tell me a little more about what you do ,,
"“We can provide general insights on different instruments (SAFE, convertible notes, etc.) based on industry norms and investor expectations. We’ll share how each structure affects dilution and valuation. For legal specifics, we recommend consulting your own lawyer, but we do review term sheets and help you decide what’s typical in the market.”",What if the investor requires SAFE notes or a specific convertible structure—will you advise on the pros and cons?,,
We are sector agnostic & stage agnostic. We work with the companies across all the sectors and all the stages.,Is there a particular sector or stage of startups with whom you work?,"
","
"
"Yes, we can help you in refining your documents by reviewing them and providing our detailed feedback on the same.

If you want, we can also create these documents from scratch on your behalf with an additional fee.",Do you help in refining our documents?,,
"Yes, we have done the same for various companies in the past as well.

We can run 2 separate investor campaigns parallely for you- 1 for the bridge round and another for the bigger round. The set of investors will be different for both the rounds and this will help you save time, money & efforts in raising 2 separate funding rounds.",Can you help in raising the bridge round along with the bigger round?,,
"We have been in this industry for the past 12 years. Qubit capital as a brand is a four-year-old brand but before that we were working as a traditional investment banker in the name of 360 financials which is a twelve-year-old Investment Banking firm. There we helped various startups and SMEs raise their capital via equity, debt, we have done various IPOs as well so we have a very strong network of hundreds of investors across the globe.

Over the period we have realised that having that limited network of investors is not enough because it is not practical every time that only the investor who is in our direct network, can be a right fit for all the startups, there can be hundreds of investors outside our network who can be a right fit for them, who can fund them. That's where in 2020, we created this proprietary technology and had started onboarding other investors as well who were outside our network.

We have a dedicated team of Investor Relations whose job is just to get on calls with these investors, build relations with them and understand their thesis. Apart from this we have subscriptions of various public and private platforms through which we are gathering the data of the investors and our system is learning their thesis using the Machine Learning Algorithm.

So it's kind of a hybrid relationship which we are having with these investors. Some of them are in our direct network, some are outside our network.",What kind of relationship do you have with these investors?,,
"Completely understand the question around costs—fundraising is crucial, and every dollar counts. 

Our flexible fundraising packages are customized based on your specific fundraising challenges, starting at just $1,000 for tailored investor mapping, targeted outreach, and personalized pitch preparation. To fully align our success with yours, for end to end fundraising we work primarily on a success-based model—taking just a modest 3–5% success fee on the funds successfully raised, ensuring our interests remain completely aligned. 

Importantly, your initial platform fee is fully credited against this success fee, meaning no net upfront costs once fundraising is successful. 

Let’s discuss which flexible option would best fit your situation. Are you available for a short call this week to go over your needs in detail?""",How much do you guys charge? / Do you charge a success/upfront/service fee?,,
We don’t facilitate crowdfunding but we can help you raise funding along with that. We can reach out to a specific set of accredited investors on your behalf and can raise funding through them alongside your crowdfunding campaign.,"I am already working with a crowdfunding platform, how can you work in parallel to that?",,
"We have all types of investors on our platform including Angels/HNIs (25%), Family Offices (15%), VCs (30%), Corporates (10%), Strategic Investors (15%) and Private Equity Funds (5%).

We have a network and database of 20,000 plus investors across the globe. If I have to give you a geographic distribution, 40% of our investors are based out of the USA. 30% are based out of the UK & Europe, and the remaining 30% are based out of Asia and a few other small geographies.",What type of investors do you have on your platform and where are these investors located?,,
"Qubit Capital is a global company having its headquarter in India & Dubai.

We have people working from different parts of India, Singapore & Dubai.",Where are you located?,,
"We can help you get the funding through all types of investment instruments like- Equity Funding, Safe Notes, Convertible Notes, Strategic Funding etc.

We’ll first understand your requirements and then suggest the right investment instrument for you.",What type of investment would you help us to get- Debt/ Equity/ Safe Notes?,,
"We have all types of investors on our platform including Angels/HNIs (25%), Family Offices (15%), VCs (30%), Corporates (10%), Strategic Investors (15%) and Private Equity Funds (5%).

We have a network and database of 20,000 plus investors across the globe. If I have to give you a geographic distribution, 40% of our investors are based out of the USA. 30% are based out of the UK & Europe, and the remaining 30% are based out of Asia and a few other small geographies.",What type of investors do you have on your platform and where are these investors located?,,
"To date, Qubit Capital has facilitated over $215 million in funding for 64 startups globally. Our proven track record demonstrates our commitment to empowering startups and delivering exceptional returns for investors.",Can you share some success stories or achievements of Qubit Capital?,,
"Completely understand the question around costs—fundraising is crucial, and every dollar counts. 

Our flexible fundraising packages are customized based on your specific fundraising challenges, starting at just $1,000 for tailored investor mapping, targeted outreach, and personalized pitch preparation. To fully align our success with yours, for end to end fundraising we work primarily on a success-based model—taking just a modest 3–5% success fee on the funds successfully raised, ensuring our interests remain completely aligned. 

Importantly, your initial platform fee is fully credited against this success fee, meaning no net upfront costs once fundraising is successful. 

Let’s discuss which flexible option would best fit your situation. Are you available for a short call this week to go over your needs in detail?""",Do you charge money upfront?,,
"“No. Qubit Capital does not assist with any form of debt financing or loans, we can only assist you in raising equity",We’re raising part equity and part debt—can Qubit help with a mix of instruments in the same round?,,
We use a professional approach to reach out to the investors via Email & LinkedIn.,What is the mode of reaching out to investors?,,
"To make the most of our discussion, we recommend scheduling a virtual meeting via Google Meet instead of a phone call. A virtual meeting will allow us to share screens, enabling us to present insight into showcasing information on how we can help you connect with the right investors.",Can we get on a whatsapp call ?,,
"Qubit Capital is not a fund. But we surely can help you raise funds.

We specialise in connecting startups with the right investors through our AI-powered matchmaking algorithm.",Is Qubit Capital a fund?,,
"I obtained your contact information from a business database called Apollo.io.

Apollo.io is responsible for ensuring all data is collected and shared in compliance with all relevant data protection regulations, including the GDPR.",Are you complying to GDPR regulations?,,
"Once we’ll start reaching out to the investors, we’ll share a dashboard with you through which you can see which investor we have reached out to and what is the conversation going on with them.",How will you provide us the update on investor conversations & and can we see that?,,
"We empower startups to succeed by connecting them with the most relevant investors worldwide through AI-powered technology and strategic expertise.
",What does Qubit do?,,
"“Absolutely. In our kickoff meeting, we clarify your ‘ideal investor persona.’ Some founders only want two or three large checks; others may welcome multiple smaller investors. Our AI-based filtration and manual verification let us target the exact check sizes you prefer, so we only approach investors whose ticket size aligns with your round.”","Are you flexible about the investor’s minimum or maximum check sizes if I prefer fewer, larger investments rather than many small ones?",,
"Completely understand the question around costs—fundraising is crucial, and every dollar counts. 

Our flexible fundraising packages are customized based on your specific fundraising challenges, starting at just $1,000 for tailored investor mapping, targeted outreach, and personalized pitch preparation. To fully align our success with yours, for end to end fundraising we work primarily on a success-based model—taking just a modest 3–5% success fee on the funds successfully raised, ensuring our interests remain completely aligned. 

Importantly, your initial platform fee is fully credited against this success fee, meaning no net upfront costs once fundraising is successful. 

Let’s discuss which flexible option would best fit your situation. Are you available for a short call this week to go over your needs in detail?""",What is your fee structure?,,
"Unfortunately, we will only be able to schedule a virtual call as we are a remote team based out of India.

",Can we meet in person?,,
We are sector agnostic & stage agnostic. We work with the companies across all the sectors and all the stages.,Is there a particular sector or stage of startups with whom you work?,"
","
"
We use a professional approach to reach out to the investors via Email & LinkedIn.,What is the mode of reaching out to investors?,,
"“Each funding round is treated as a separate engagement because the deal parameters, valuations, and investor sets change. After we complete one round (bridge or seed), if you want to proceed with a larger round, we’ll create a new mandate outlining that new raise size, timeline, and terms. We often work with repeat clients this way.”","If we sign with you for a small round now, but later want to raise a bigger Series A, do we have to sign a fresh agreement?",,
"I obtained your contact information from a business database called Apollo.io, which provides contact information for business networking purposes.

Apollo.io is responsible for ensuring all data is collected and shared in compliance with all relevant data protection regulations, including the GDPR.",Where did you get my contact information from?,,
"“Yes. Each time an investor declines or requests more info, our team notes their feedback and passes it along to you. Sometimes the reason is a sector mismatch; other times it might be valuation concerns. We believe in transparent communication so you can fine-tune your documents or approach accordingly.”",Will we receive ongoing investor feedback—especially if they say ‘no’—so we can improve our pitch?,,
"After identifying all the potential investors for your company, our team will prepare an elevator pitch/intro pitch about your company. They will get it approved by you and then we’ll start sharing it with those investors.

Once the investors show their interest, then we’ll provide them with your Pitch Deck, Financial Model and set up meetings between you and those investors.",How will you pitch our business to these investors?,,
"“Each funding round is treated as a separate engagement because the deal parameters, valuations, and investor sets change. After we complete one round (bridge or seed), if you want to proceed with a larger round, we’ll create a new mandate outlining that new raise size, timeline, and terms. We often work with repeat clients this way.”","If we sign with you for a small round now, but later want to raise a bigger Series A, do we have to sign a fresh agreement?",,
"We are sector and stage agnostic, we work with startups at all the stages.

Minimum which we have raised is $150k and Maximum we have raised is $25Mn. But the majority of our clients raise in the range of $1Mn-$5Mn.",What is the average ticket size which you raise/ What is your sweet spot?,,
"There is no minimum or maximum limit to the investor meetings. Our goal is not to provide you with just investor meetings. We are investment bankers and we are here to raise funds for you.

Therefore, it doesn't matter to us whether we are getting you two investor meetings or 20 investor meetings. What matters to us is that we should be able to raise funding for you with the right investor. It can happen after 30 meetings and it can happen after one meeting as well.

You don't need hundreds of investors to invest in your company. You just need one or two good investors to invest in your company.

That's why we don't count on the number of meetings, we just count on the quality of the meeting that we should put you in front of the right investor.",How many investor meetings will you be able to get for me?,,
"Initially we’ll be providing an intro pitch with the investors about your company. Once they show their interest, then we share the Pitch Deck & other information with them. NDA will not be signed till this stage as these investors get a lot of Pitch Decks on a daily basis.

They may sign the NDA when the conversation with them is going on at the advanced stage and they ask us to share some confidential information.",Will you sign the NDA with the investors before sharing information with them?,,
"No, we cannot provide a free trial because this is not a deal listing platform or a DIY platform. It is a complete backend process which will be done by our company and it is not a quick process.

There are different steps, different teams get involved in the entire process and it takes a long time, minimum two month's time to do all these things. So that's why it is not possible for us to give you a free trial.

Additional context: Instead, we have a 100% refund policy if we fail to generate positive investor interest.",Can you provide a free trial?,,
"“Yes. Each time an investor declines or requests more info, our team notes their feedback and passes it along to you. Sometimes the reason is a sector mismatch; other times it might be valuation concerns. We believe in transparent communication so you can fine-tune your documents or approach accordingly.”",Will we receive ongoing investor feedback—especially if they say ‘no’—so we can improve our pitch?,,
"We provide the legal assistance in reviewing and vetting your termsheet, SHA (Shareholder’s Agreement) & other legal documents.

We’ll not prepare these documents nor will we doing the compliance part i.e issuing equity/debentures etc. to the investors. That will be done by your lawyers or CPA.",What kind of Legal Support you will be providing to us in this fundraising journey?,,
"At Qubit, we combine advanced AI-driven matchmaking technology with our seasoned team's 15+ years of fundraising experience to find your perfect investor fit rom our extensive network of over 20,000 VCs, Family Offices, Strategic Corporates, Private Equity Funds, and Angels across 90+ countries, including the USA, UK, Europe, Latin America, Southeast Asia, Middle East, India, and beyond. 

We carefully analyze your sector, stage, geography, and funding needs to identify relevant investors from our global network, ensuring highly targeted and effective outreach. Our fundraising experts support you from investor introductions, pitch deck refinement, negotiations, all the way until funds successfully reach your account.",How do you work,,
"Completely understand the question around costs—fundraising is crucial, and every dollar counts. 

Our flexible fundraising packages are customized based on your specific fundraising challenges, starting at just $1,000 for tailored investor mapping, targeted outreach, and personalized pitch preparation. To fully align our success with yours, for end to end fundraising we work primarily on a success-based model—taking just a modest 3–5% success fee on the funds successfully raised, ensuring our interests remain completely aligned. 

Importantly, your initial platform fee is fully credited against this success fee, meaning no net upfront costs once fundraising is successful. 

Let’s discuss which flexible option would best fit your situation. Are you available for a short call this week to go over your needs in detail?",What is your pricing structure?,,
"Yes, we can help you in refining your documents by reviewing them and providing our detailed feedback on the same.

If you want, we can also create these documents from scratch on your behalf with an additional fee.",Do you help in refining our documents?,,
"To make the most of our discussion, we recommend scheduling a virtual meeting via Google Meet instead of a phone call. A virtual meeting will allow us to share screens, enabling us to present insight into showcasing information on how we can help you connect with the right investors.",Can we get on a phone call ?,"
","
"
"We work on a reverse approach where we first onboard the investors, we understand their investment thesis in detail, the kind of startups they are looking for to invest in, from which industry they're looking for, from which geography, what should be their stage, what should be the deal size and based on that thesis our system identifies all the potential and relevant startups who can be a right fit for these investors and finds out the contact information of the founders and senior team members.

Then our team members reach out to the founders to set up a meeting with us and that's how we are talking right now.",How do you get to know about my company?,,
"We work with a maximum of 10 startups at a time. Although we have a team of 55+ people and we can easily manage more startups, but we believe in quality rather than quantity. We want to give our 100% focus on every startup with whom we are working.",How many startups do you work with at a time?,,
"Currently we are a team of 65+ people working in different departments like- Tech, Data, Business Analyst, Financial Analyst, Fundraising Consultants, Investor Relations, HR, Finance etc.",How big is your team?,,
"Sure, please look at our corporate profile that outlines our offerings and services",Do you have any documents / files / collaterals to share,,
"Unfortunately, we will only be able to schedule a virtual call as we are a remote team based out of India.

",Can we meet in person?,,
"No, there is no exclusivity. We work on a non-exclusive mandate and you are free from day one to work with any investor, any other advisor or investment banker directly. You are only liable to pay the success fee to us when you get the funding from the investor introduced by us.",Is there any exclusivity on which you work?,,
"To make the most of our discussion, we recommend scheduling a virtual meeting via Google Meet instead of a phone call. A virtual meeting will allow us to share screens, enabling us to present insight into showcasing information on how we can help you connect with the right investors.",Can we get on a phone call ?,"
","
"
"It’s good that you are already having ongoing discussions or have soft commitments from a few investors but you can’t be 100% sure till the time the investment money hits your bank account.

Moreover, it’s always better to have multiple investors interested in your company and having multiple investment offers in your hand so that you can negotiate with them on your own terms and you get the opportunity to select the best investor for your company. With Qubit, you will get this opportunity.",I am already having ongoing discussions/ soft commitments from a few investors. I don’t think I need Qubit Capital’s help for this round.,,
"At Qubit, we combine advanced AI-driven matchmaking technology with our seasoned team's 15+ years of fundraising experience to find your perfect investor fit rom our extensive network of over 20,000 VCs, Family Offices, Strategic Corporates, Private Equity Funds, and Angels across 90+ countries, including the USA, UK, Europe, Latin America, Southeast Asia, Middle East, India, and beyond. 

We carefully analyze your sector, stage, geography, and funding needs to identify relevant investors from our global network, ensuring highly targeted and effective outreach. Our fundraising experts support you from investor introductions, pitch deck refinement, negotiations, all the way until funds successfully reach your account.",What does Qubit do,,
"Our company is registered in India & Dubai and as per the law of both these countries we don’t need any licence to operate as an investment banker even if we are providing the service to startups and investors outside India & Dubai. And we have been doing this business for the last 12 years smoothly.

The laws of other countries will only apply to us if we’ll register ourselves in those countries.",Are you a registered broker dealer? Do you have a licence to operate as an investment banker?,,
"I obtained your contact information from a business database called Apollo.io.

Apollo.io is responsible for ensuring all data is collected and shared in compliance with all relevant data protection regulations, including the GDPR.",Are you complying to GDPR regulations?,,
"We empower startups to succeed by connecting them with the most relevant
investors worldwide through AI-powered technology and strategic expertise.",Tell me a little more about yourself,,
"We empower startups to succeed by connecting them with the most relevant investors worldwide through AI-powered technology and strategic expertise.
",What does Qubit do?,,
"Marquee Equity is a marketing platform for startups which can broadcast your deal to the entire database of investors they have. Whereas Qubit Capital is a tech driven investment banking firm where we leverage technology to identify the relevant investors for your company and then help you close the deal through our fundraising experience.

If you want to market your business in front of the random investors, then Marquee is the right platform for you.

If you want to raise funding from the right investors, then Qubit is the right platform for you.","We already know Marquee Equity who is your competitor, how are you better/different from them?",,
"Post we onboard you, we'll assign you an account manager who will set up a meeting with you to understand your business in detail and to understand your investor persona. He/she will ask you to share the existing pitch deck & financial model for their review.

Once you share these documents with us, our team will take 2-3 working days to review them and they will share their feedback with you. Post that they will prepare an elevator pitch on your behalf and will get it verified from you.

Once we finalise the elevator pitch, we'll start reaching out to the prospective investors. We can start expecting their interest in 2-3 weeks time.

After that we'll share the Pitch Deck, Financial Model and other information with them which they will be looking for. They will take another 1-2 week time to review all the documents & information shared by us. And after that the meetings with those investors will start happening.

Overall it will be an approx 3-4 months process from the point we start reaching out to the investors till the time money will be in your bank.",How does the post onboarding timeline work?,,
"We have our own AI algorithm which understands the requirements of the startups, the thesis of the investors, does the matchmaking between both of them and provides us the list of all the potential investors relevant for the startup.",What is the role of AI in this whole process?,,
"We work on a reverse approach where we first onboard the investors, we understand their investment thesis in detail, the kind of startups they are looking for to invest in, from which industry they're looking for, from which geography, what should be their stage, what should be the deal size and based on that thesis our system identifies all the potential and relevant startups who can be a right fit for these investors and finds out the contact information of the founders and senior team members.

Then our team members reach out to the founders to set up a meeting with us and that's how we are talking right now.",How do you get to know about my company?,,
"Yes, we can help you in refining your documents by reviewing them and providing our detailed feedback on the same.

If you want, we can also create these documents from scratch on your behalf with an additional fee.",Do you help in refining our documents?,,
"There is an exemption in the SEC law for the Foreign advisors which states that the foreign advisors can provide its services over the internet if it has fewer than 15 U.S. clients and implements measures reasonably designed to ensure that, based on its Internet activities, the adviser is not holding itself out as an investment adviser in the United States.

https://www.sec.gov/rules/1998/03/statement-commission-regarding-use-internet-web-sites-offer-securities-solicit",As per the SEC law (For USA) we can not work with any intermediary who is not registered as a broker dealer with the SEC.,,
"We have our own AI algorithm which understands the requirements of the startups, the thesis of the investors, does the matchmaking between both of them and provides us the list of all the potential investors relevant for the startup.",What is the role of AI in this whole process?,,
"Qubit Capital is not a fund. But we surely can help you raise funds.

We specialise in connecting startups with the right investors through our AI-powered matchmaking algorithm.",Is Qubit Capital a fund?,,
"Definitely, please take a look at our client success stories and case studies to see how we have helped startups raise the funds they deserve",Can you share any testimonies / testimonials?,,
"We have helped many startups across sectors, from Fintech and Edutech to Travel and Renewable Energy. While we cannot disclose specific names, please take a look at our client success stories and case studies to guage the impact we've made for them, and can do the same for you.",Can you share testimonials or case studies or success stories from <specific sector>? ,,
"Completely understand the question around costs—fundraising is crucial, and every dollar counts. 

Our flexible fundraising packages are customized based on your specific fundraising challenges, starting at just $1,000 for tailored investor mapping, targeted outreach, and personalized pitch preparation. To fully align our success with yours, for end to end fundraising we work primarily on a success-based model—taking just a modest 3–5% success fee on the funds successfully raised, ensuring our interests remain completely aligned. 

Importantly, your initial platform fee is fully credited against this success fee, meaning no net upfront costs once fundraising is successful. 

Let’s discuss which flexible option would best fit your situation. Are you available for a short call this week to go over your needs in detail?""",What is your business model,,
"We work with a maximum of 10 startups at a time. Although we have a team of 55+ people and we can easily manage more startups, but we believe in quality rather than quantity. We want to give our 100% focus on every startup with whom we are working.",How many startups do you work with at a time?,,
"Our success rate is between 30 to 35%. We never claim that we are 100% successful. Nobody in this world can be 100% successful for startup fundraising.

If you compare it with the industry standard, the industry standard is in single digit. That's 7 to 8% and ours is almost three to four times the industry standard. The only reason why we are able to maintain a higher success rate is because we are using the hybrid model wherein we are using our twelve-year-old expertise in dealing with the investors, closing the deals, along with the new age technology which we have created of doing the matchmaking between the startup and the investor.",What is your success rate?,,
We provide a refund guarantee if we will not be able to get you any positive investor conversation within 45/60 days after we start the investor outreach.,Will you refund my money if you’ll not be able to secure funding for me?,,
"Completely understand the question around costs—fundraising is crucial, and every dollar counts. 

Our flexible fundraising packages are customized based on your specific fundraising challenges, starting at just $1,000 for tailored investor mapping, targeted outreach, and personalized pitch preparation. To fully align our success with yours, for end to end fundraising we work primarily on a success-based model—taking just a modest 3–5% success fee on the funds successfully raised, ensuring our interests remain completely aligned. 

Importantly, your initial platform fee is fully credited against this success fee, meaning no net upfront costs once fundraising is successful. 

Let’s discuss which flexible option would best fit your situation. Are you available for a short call this week to go over your needs in detail?""",What is your fee structure?,,
"Sure, please look at our corporate profile that outlines our offerings and services",Do you have any documents / files / collaterals to share,,
"We have been in this industry for the last 12 years so we have direct connect and direct network with the investors across the globe. But over the period we have realised that having that limited network is not enough. That's where we have started onboarding and connecting with the other investors outside our direct network.

We have a dedicated team of Investor Relations whose job is just to get on calls with these investors, build relations with them and understand their thesis.

Also we have subscribed to various public and private platforms through which we are gathering that data of these investors. Gathering data is just one small step, then we have our in-house team of data scientists and data engineers who are constantly refining that data, upgrading that data, and understanding the investment thesis of all these investors using Machine Learning algorithm.

Once we onboard any startup, our system matches them with the relevant investors as per their requirement using our AI matchmaking algorithm.",How are you getting the data of these investors?,,
"“Yes. We can facilitate strictly secondary share sales (where existing shareholders sell part or all of their stakes). While many of our deals involve fresh capital, we also have investors open to secondary transactions—especially if they see clear upside in the company. We’ll ensure we target those with a history or interest in secondaries.”",Can you handle secondary transactions only (with no new capital being raised)?,,
"At Qubit, we combine advanced AI-driven matchmaking technology with our seasoned team's 15+ years of fundraising experience to find your perfect investor fit rom our extensive network of over 20,000 VCs, Family Offices, Strategic Corporates, Private Equity Funds, and Angels across 90+ countries, including the USA, UK, Europe, Latin America, Southeast Asia, Middle East, India, and beyond. 

We carefully analyze your sector, stage, geography, and funding needs to identify relevant investors from our global network, ensuring highly targeted and effective outreach. Our fundraising experts support you from investor introductions, pitch deck refinement, negotiations, all the way until funds successfully reach your account.",Can you tell me a little more about what you do ,,
"No, we do not guarantee funding and no one can guarantee funding. What we guarantee is that we can identify the relevant investors for you as per your requirement, we can reach out to them on your behalf, we can generate their interest, connect them with you and also help you in closing the deal with those investors. That is what we guarantee and no one else is even guaranteeing this thing that they can get you connected with the right investor and get you a positive conversation with them. If we are not able to do that, we provide a 100% refund guarantee.

Funding is something, which is not in our hand, it is in the hands of the investors mainly. Therefore, we cannot guarantee that.",Do you guarantee funding?,,
Sure we can,Can you share the free investor list?,,
"“Absolutely. During onboarding, we define whether you’re looking for purely financial backers, corporates seeking strategic synergies, family offices, or a mix. If you only want strategic investors, we filter accordingly, focusing on corporate venture arms or relevant large companies that invest in your industry.”","If we want to approach only strategic or corporate VCs (no pure financial investors), is that feasible?",,
We use a professional approach to reach out to the investors via Email & LinkedIn.,What is the mode of reaching out to investors?,,
"We are sector and stage agnostic, we work with startups at all the stages.

Minimum which we have raised is $150k and Maximum we have raised is $25Mn. But the majority of our clients raise in the range of $1Mn-$5Mn.",What is the average ticket size which you raise/ What is your sweet spot?,,
"“Each funding round is treated as a separate engagement because the deal parameters, valuations, and investor sets change. After we complete one round (bridge or seed), if you want to proceed with a larger round, we’ll create a new mandate outlining that new raise size, timeline, and terms. We often work with repeat clients this way.”","If we sign with you for a small round now, but later want to raise a bigger Series A, do we have to sign a fresh agreement?",,
"“Yes, we can definitely help. We have facilitated partial acquisitions and strategic investments for multiple companies. The process is similar: we identify and reach out to potential buyers or strategic investors based on your sector and requirements. Once they express interest, we manage the entire conversation—from initial pitch to due diligence—until the acquisition or investment closes.”",We’re considering a partial or full acquisition. Do you handle Mergers and Acquisitions or strategic buyout deals?,,
"I obtained your contact information from a business database called Apollo.io.

Apollo.io is responsible for ensuring all data is collected and shared in compliance with all relevant data protection regulations, including the GDPR.",Are you complying to data privacy regulations?,,
"I obtained your contact information from a business database called Apollo.io, which provides contact information for business networking purposes.

Apollo.io is responsible for ensuring all data is collected and shared in compliance with all relevant data protection regulations, including the GDPR.",Where did you get my contact information from?,,
"We can share the video testimonials of multiple clients who have successfully raised capital through Qubit. It is not practical to share the contact information of all the successful clients because the clients don't like that on any random day any potential client of Qubit reaches out to them, asks for feedback, asks for a call or email.

Earlier we used to provide the references of all our successful clients but later on, those clients came back to us complaining that on a regular basis they are getting email and call requests from various startups who are looking to raise funds through Qubit. It became very difficult and irritating for them.

That's where we have stopped it and from that time we have started taking the video testimonials from the clients so that it can be authentic. Written testimonials can be manipulated, but it cannot be done in video testimonials.",Can you connect us with the companies which have successfully raised funding through Qubit? ,,
"“Absolutely. During onboarding, we define whether you’re looking for purely financial backers, corporates seeking strategic synergies, family offices, or a mix. If you only want strategic investors, we filter accordingly, focusing on corporate venture arms or relevant large companies that invest in your industry.”","If we want to approach only strategic or corporate VCs (no pure financial investors), is that feasible?",,
"Currently we are a team of 65+ people working in different departments like- Tech, Data, Business Analyst, Financial Analyst, Fundraising Consultants, Investor Relations, HR, Finance etc.",How big is your team?,,
"No, it is not the cold reachout because we are not reaching out to any random investor.

We are having two sets of investors, one who is into our direct network who knows Qubit and another who is outside our direct network, but at the same time they're looking for the opportunity to invest in a company like your’s. We identify all the potential investors for you from our network and outside our network as well and reach out to those investors on your behalf.

The investors who are in our direct network, we directly share the deal with them but the investors who are outside our network, we also share the deal with them because they are looking to invest in these kind of companies and we are solving a very big problem at their end in identifying the right startups and we provide them with the curated dealflow.",Is it a cold reachout which you will be doing to pitch these investors?,,
"“Yes, in certain scenarios our fee structure scales. For amounts under $5M, the 4% rate is typical; for raises above $10M, it can drop to 3% or 2.5%. However, we finalize this in the engagement letter once we know your target range. If your round ends up being larger than initially expected, we adjust the success fee accordingly.”",Does the 4% success fee change if the raise is much bigger or smaller than planned?,,
"“We can provide general insights on different instruments (SAFE, convertible notes, etc.) based on industry norms and investor expectations. We’ll share how each structure affects dilution and valuation. For legal specifics, we recommend consulting your own lawyer, but we do review term sheets and help you decide what’s typical in the market.”",What if the investor requires SAFE notes or a specific convertible structure—will you advise on the pros and cons?,,
"At Qubit, we combine advanced AI-driven matchmaking technology with our seasoned team's 15+ years of fundraising experience to find your perfect investor fit rom our extensive network of over 20,000 VCs, Family Offices, Strategic Corporates, Private Equity Funds, and Angels across 90+ countries, including the USA, UK, Europe, Latin America, Southeast Asia, Middle East, India, and beyond. 

We carefully analyze your sector, stage, geography, and funding needs to identify relevant investors from our global network, ensuring highly targeted and effective outreach. Our fundraising experts support you from investor introductions, pitch deck refinement, negotiations, all the way until funds successfully reach your account.",How can you help us raise funds?,,
"10x Your Investor Network Globally: We connect you with a vast pool of over 20,000 global investors, including VCs, Family Offices, Corporate Funds, and Angel Investors. This significantly expands your reach and increases your chances of finding the perfect match.
Meet Relevant Investors: Our proprietary algorithm ensures you get to meet investors whose interests and investment thesis align with your vision and stage. Whether you're looking for seed funding or Series C, we'll connect you with the right people.
Integrated Fundraising Services: We provide end-to-end support, from crafting compelling pitch decks and financial statements to facilitating investor meetings. Our team of experienced fundraising consultants guides you through each step, ensuring a smooth and efficient process.
Save Time: By leveraging our extensive network and streamlined processes, you can focus on running and growing your business while we handle the intricacies of fundraising. We aim to reduce the time and effort you spend on fundraising, making it as effortless as possible.",Can you share a demo with me,,
